"national_number","gen","english_name","japanese_name","primary_type","secondary_type","classification","percent_male","percent_female","height_m","weight_kg","capture_rate","hp","attack","defense","sp_attack","sp_defense","speed","abilities_1","abilities_2","hidden_ability","description","tier"
1,1,"Bulbasaur","フシギダネ (Fushigidane)","Grass","Poison","Seed Pokémon","87.5%","12.5%",0.7,6.9,45,45,49,49,65,65,45,"Overgrow",NA,"Chlorophyll",NA,"LC"
2,1,"Ivysaur","フシギソウ (Fushigisou)","Grass","Poison","Seed Pokémon","87.5%","12.5%",1,13,45,60,62,63,80,80,60,"Overgrow",NA,"Chlorophyll",NA,"NFE"
3,1,"Venusaur","フシギバナ (Fushigibana)","Grass","Poison","Seed Pokémon","87.5%","12.5%",2,100,45,80,82,83,100,100,80,"Overgrow",NA,"Chlorophyll",NA,"ZU"
4,1,"Charmander","ヒトカゲ (Hitokage)","Fire",NA,"Lizard Pokémon","87.5%","12.5%",0.6,8.5,45,39,52,43,60,50,65,"Blaze",NA,"Solar Power",NA,"LC"
5,1,"Charmeleon","リザード (Lizardo)","Fire",NA,"Flame Pokémon","87.5%","12.5%",1.1,19,45,58,64,58,80,65,80,"Blaze",NA,"Solar Power",NA,"NFE"
6,1,"Charizard","リザードン (Lizardon)","Fire","Flying","Flame Pokémon","87.5%","12.5%",1.7,90.5,45,78,84,78,109,85,100,"Blaze",NA,"Solar Power",NA,"ZU"
7,1,"Squirtle","ゼニガメ (Zenigame)","Water",NA,"Tiny Turtle Pokémon","87.5%","12.5%",0.5,9,45,44,48,65,50,64,43,"Torrent",NA,"Rain Dish",NA,"LC"
8,1,"Wartortle","カメール (Kameil)","Water",NA,"Turtle Pokémon","87.5%","12.5%",1,22.5,45,59,63,80,65,80,58,"Torrent",NA,"Rain Dish",NA,"NFE"
9,1,"Blastoise","カメックス (Kamex)","Water",NA,"Shellfish Pokémon","87.5%","12.5%",1.6,85.5,45,79,83,100,85,105,78,"Torrent",NA,"Rain Dish",NA,"RUBL"
10,1,"Caterpie","キャタピー (Caterpie)","Bug",NA,"Worm Pokémon","50%","50%",0.3,2.9,255,45,30,35,20,20,45,"Shield Dust",NA,"Run Away",NA,"National Dex"
11,1,"Metapod","トランセル (Transel)","Bug",NA,"Cocoon Pokémon","50%","50%",0.7,9.9,120,50,20,55,25,25,30,"Shed Skin",NA,NA,NA,"National Dex"
12,1,"Butterfree","バタフリー (Butterfree)","Bug","Flying","Butterfly Pokémon","50%","50%",1.1,32,45,60,45,50,90,80,70,"Compound Eyes",NA,"Tinted Lens",NA,"National Dex"
13,1,"Weedle","ビードル (Beedle)","Bug","Poison","Hairy Bug Pokémon","50%","50%",0.3,3.2,255,40,35,30,20,20,50,"Shield Dust",NA,"Run Away",NA,"National Dex"
14,1,"Kakuna","コクーン (Cocoon)","Bug","Poison","Cocoon Pokémon","50%","50%",0.6,10,120,45,25,50,25,25,35,"Shed Skin",NA,NA,NA,"National Dex"
15,1,"Beedrill","スピアー (Spear)","Bug","Poison","Poison Bee Pokémon","50%","50%",1,29.5,45,65,90,40,45,80,75,"Swarm",NA,"Sniper",NA,"National Dex"
16,1,"Pidgey","ポッポ (Poppo)","Normal","Flying","Tiny Bird Pokémon","50%","50%",0.3,1.8,255,40,45,40,35,35,56,"Keen Eye","Tangled Feet","Big Pecks",NA,"National Dex"
17,1,"Pidgeotto","ピジョン (Pigeon)","Normal","Flying","Bird Pokémon","50%","50%",1.1,30,120,63,60,55,50,50,71,"Keen Eye","Tangled Feet","Big Pecks",NA,"National Dex"
18,1,"Pidgeot","ピジョット (Pigeot)","Normal","Flying","Bird Pokémon","50%","50%",1.5,39.5,45,83,80,75,70,70,101,"Keen Eye","Tangled Feet","Big Pecks",NA,"National Dex"
19,1,"Rattata","コラッタ (Koratta)","Normal",NA,"Mouse Pokémon","50%","50%",0.3,3.5,255,30,56,35,25,35,72,"Run Away","Guts","Hustle",NA,"National Dex"
20,1,"Raticate","ラッタ (Ratta)","Normal",NA,"Mouse Pokémon","50%","50%",0.7,18.5,127,55,81,60,50,70,97,"Run Away","Guts","Hustle",NA,"National Dex"
21,1,"Spearow","オニスズメ (Onisuzume)","Normal","Flying","Tiny Bird Pokémon","50%","50%",0.3,2,255,40,60,30,31,31,70,"Keen Eye",NA,"Sniper",NA,"National Dex"
22,1,"Fearow","オニドリル (Onidrill)","Normal","Flying","Beak Pokémon","50%","50%",1.2,38,90,65,90,65,61,61,100,"Keen Eye",NA,"Sniper",NA,"National Dex"
23,1,"Ekans","アーボ (Arbo)","Poison",NA,"Snake Pokémon","50%","50%",2,6.9,255,35,60,44,40,54,55,"Intimidate","Shed Skin","Unnerve",NA,"LC"
24,1,"Arbok","アーボック (Arbok)","Poison",NA,"Cobra Pokémon","50%","50%",3.5,65,90,60,95,69,65,79,80,"Intimidate","Shed Skin","Unnerve",NA,"ZU"
25,1,"Pikachu","ピカチュウ (Pikachu)","Electric",NA,"Mouse Pokémon","50%","50%",0.4,6,190,35,55,40,50,50,90,"Static",NA,"Lightning Rod",NA,"ZU"
26,1,"Raichu","ライチュウ (Raichu)","Electric",NA,"Mouse Pokémon","50%","50%",0.8,30,75,60,90,55,90,80,110,"Static",NA,"Lightning Rod",NA,"ZU"
27,1,"Sandshrew","サンド (Sand)","Ground",NA,"Mouse Pokémon","50%","50%",0.6,12,255,50,75,85,20,30,40,"Sand Veil",NA,"Sand Rush",NA,"LC"
28,1,"Sandslash","サンドパン (Sandpan)","Ground",NA,"Mouse Pokémon","50%","50%",1,29.5,90,75,100,110,45,55,65,"Sand Veil",NA,"Sand Rush",NA,"ZU"
29,1,"Nidoran♀","ニドラン♀ (Nidoran♀)","Poison",NA,"Poison Pin Pokémon","0%","100%",0.4,7,235,55,47,52,40,40,41,"Poison Point","Rivalry","Hustle",NA,NA
30,1,"Nidorina","ニドリーナ (Nidorina)","Poison",NA,"Poison Pin Pokémon","0%","100%",0.8,20,120,70,62,67,55,55,56,"Poison Point","Rivalry","Hustle",NA,"National Dex"
31,1,"Nidoqueen","ニドクイン (Nidoqueen)","Poison","Ground","Drill Pokémon","0%","100%",1.3,60,45,90,92,87,75,85,76,"Poison Point","Rivalry","Sheer Force",NA,"National Dex"
